,date,open,high,low,close,Adj Close,volume,DATE,Predictions
1987,2021-11-22,85.80999755859375,87.63999938964844,85.68000030517578,86.80000305175781,84.81329345703125,6819800,2021-11-22,85.876366
1988,2021-11-23,87.31999969482422,87.73999786376953,86.73999786376953,87.30999755859375,85.31163024902344,5950700,2021-11-23,86.73857
1989,2021-11-24,86.93000030517578,87.4800033569336,86.68000030517578,87.19000244140625,85.19437408447266,3464500,2021-11-24,87.6085
1990,2021-11-26,83.55999755859375,83.58999633789062,81.41999816894531,83.0,81.10028076171875,7113600,2021-11-26,87.77956
1991,2021-11-29,84.08999633789062,84.44999694824219,82.5199966430664,82.94000244140625,81.04166412353516,5835000,2021-11-29,84.088646
1992,2021-11-30,82.12000274658203,82.5,80.27999877929688,80.91999816894531,79.06787872314453,7966000,2021-11-30,82.782715
1993,2021-12-01,82.13999938964844,82.13999938964844,79.0,79.05000305175781,77.24068450927734,8499000,2021-12-01,80.834435
1994,2021-12-02,80.05000305175781,82.2300033569336,79.51000213623047,81.66000366210938,79.79095458984375,6409100,2021-12-02,78.72943
1995,2021-12-03,81.61000061035156,82.12000274658203,80.12000274658203,81.11000061035156,79.2535400390625,6038900,2021-12-03,80.67705
1996,2021-12-06,82.25,84.38999938964844,81.66999816894531,83.76000213623047,81.84288024902344,4964200,2021-12-06,81.124886
1997,2021-12-07,84.43000030517578,85.80000305175781,84.05000305175781,85.01000213623047,83.06427001953125,5102900,2021-12-07,83.64566
1998,2021-12-08,85.83999633789062,87.6500015258789,85.80000305175781,86.5,84.52017211914062,6749500,2021-12-08,85.49914
1999,2021-12-09,86.0,86.56999969482422,85.5199966430664,86.16000366210938,84.18795776367188,4241900,2021-12-09,87.222946
2000,2021-12-10,86.91000366210938,86.9800033569336,85.69999694824219,86.16000366210938,84.18795776367188,3294400,2021-12-10,87.23091
2001,2021-12-13,85.44999694824219,85.94000244140625,84.04000091552734,84.33000183105469,82.39984130859375,4173900,2021-12-13,87.06059
2002,2021-12-14,83.62999725341797,84.73999786376953,83.2300033569336,83.5,81.58882904052734,6144700,2021-12-14,85.28541
2003,2021-12-15,83.45999908447266,83.72000122070312,82.06999969482422,83.43000030517578,81.52043151855469,5388300,2021-12-15,83.95246
2004,2021-12-16,84.26000213623047,84.5199966430664,82.45999908447266,82.69999694824219,80.80713653564453,4546300,2021-12-16,83.57062
2005,2021-12-17,82.69999694824219,83.0199966430664,81.16999816894531,82.27999877929688,80.39675903320312,8892600,2021-12-17,82.933876
2006,2021-12-20,81.02999877929688,81.3499984741211,79.69000244140625,81.02999877929688,79.17536926269531,5828400,2021-12-20,82.428505
2007,2021-12-21,81.66999816894531,83.91999816894531,81.66999816894531,83.68000030517578,81.76470184326172,7301900,2021-12-21,81.21435
2008,2021-12-22,83.4800033569336,84.75,83.43000030517578,84.06999969482422,82.14578247070312,3852800,2021-12-22,83.312874
2009,2021-12-23,84.55999755859375,85.19999694824219,84.5199966430664,84.9000015258789,82.956787109375,2650000,2021-12-23,84.44545
2010,2021-12-27,84.72000122070312,85.4000015258789,84.23999786376953,85.23999786376953,83.28900146484375,2743700,2021-12-27,85.44091
2011,2021-12-28,85.06999969482422,86.3499984741211,84.77999877929688,86.0199966430664,84.0511474609375,3220100,2021-12-28,85.925095
2012,2021-12-29,85.58000183105469,86.06999969482422,85.22000122070312,85.88999938964844,83.92412567138672,2085300,2021-12-29,86.665245
2013,2021-12-30,86.04000091552734,86.5,85.69999694824219,85.80000305175781,83.83618927001953,2459400,2021-12-30,86.6896
2014,2021-12-31,85.7300033569336,86.33000183105469,85.5,86.05999755859375,84.09024047851562,2667700,2021-12-31,86.5357
2015,2022-01-03,86.08000183105469,87.13999938964844,86.06999969482422,86.97000122070312,84.97940826416016,5169200,2022-01-03,86.67759
2016,2022-01-04,87.87000274658203,90.06999969482422,87.69999694824219,90.0199966430664,87.9595947265625,6044200,2022-01-04,87.52354
2017,2022-01-05,90.19999694824219,91.52999877929688,89.4000015258789,89.56999969482422,87.51990509033203,6833600,2022-01-05,90.495964
2018,2022-01-06,90.4000015258789,90.93000030517578,89.61000061035156,90.05999755859375,87.99868774414062,5559000,2022-01-06,90.82963
2019,2022-01-07,90.26000213623047,91.37000274658203,90.08999633789062,90.44000244140625,88.36998748779297,4835300,2022-01-07,91.18836
2020,2022-01-10,90.68000030517578,90.79000091552734,89.23999786376953,89.7300033569336,87.67623901367188,4884200,2022-01-10,91.48785
2021,2022-01-11,89.73999786376953,90.83999633789062,89.2699966430664,90.72000122070312,88.6435775756836,4529800,2022-01-11,90.86506
2022,2022-01-12,91.0,91.55000305175781,90.83999633789062,91.06999969482422,88.98556518554688,4613100,2022-01-12,91.49624
2023,2022-01-13,91.37999725341797,92.45999908447266,90.95999908447266,91.55999755859375,89.46434783935547,5026300,2022-01-13,91.96307
2024,2022-01-14,91.05000305175781,92.4800033569336,90.72000122070312,92.33000183105469,90.21672821044922,4987400,2022-01-14,92.484474
2025,2022-01-18,91.33000183105469,91.9000015258789,90.27999877929688,90.75,88.67289733886719,6010200,2022-01-18,93.24635
